episode,timestep,reward
2703,562000,-27.4912
2713,564000,-1.823
2723,566000,35.6544
2733,568000,-102.9899
2743,570000,10.4378
2753,572000,-41.4965
2762,574000,46.4077
2772,576000,-94.7507
2782,578000,31.5655
2792,580000,39.1927
2803,582000,-4.3602
2813,584000,-28.8799
2822,586000,-101.7992
2832,588000,10.7504
2842,590000,12.445
2852,592000,-37.6517
2862,594000,-20.8906
2871,596000,24.8247
2881,598000,-7.3224
2891,600000,16.8411
2900,602000,-100.5626
2910,604000,-20.4192
2920,606000,15.9594
2931,608000,-34.7251
2940,610000,-58.3419
2950,612000,-24.1961
2960,614000,-54.857
2970,616000,-35.6037
2980,618000,19.5336
2990,620000,-4.8219
2999,622000,-32.5692
3009,624000,-159.9802
3019,626000,-0.4793
3029,628000,57.7145
3039,630000,-28.3928
3049,632000,-15.7111
3060,634000,-6.4558
3070,636000,21.5347
3080,638000,12.529
3090,640000,67.5623
3100,642000,-6.4876
3110,644000,-38.0951
3120,646000,62.8508
3130,648000,-31.7763
3140,650000,14.5861
3150,652000,-35.402
3159,654000,160.2155
3168,656000,50.3675
3178,658000,9.5335
3188,660000,5.9145
3198,662000,14.4341
3208,664000,0.4968
3218,666000,-22.502
3228,668000,-49.9863
3238,670000,68.6151
3247,672000,-30.4242
3257,674000,23.474
3266,676000,15.096
3276,678000,28.6822
3286,680000,-14.8741
3296,682000,-3.4872
3306,684000,17.4048
3316,686000,4.0869
3326,688000,129.202
3336,690000,-42.9871
3346,692000,-16.5495
3356,694000,-33.4763
3365,696000,-33.2602
3375,698000,14.9795
3385,700000,-47.9976
3395,702000,-25.8479
3405,704000,73.3105
3415,706000,22.9205
3425,708000,-19.6072
3435,710000,-75.4732
3445,712000,38.5754
3455,714000,37.0959
3464,716000,5.4304
3474,718000,-13.9838
3484,720000,-19.7573
3495,722000,38.878
3504,724000,41.3326
3514,726000,28.6507
3523,728000,5.3895
3533,730000,39.9981
3542,732000,17.2839
3552,734000,-46.4981
3561,736000,224.1504
3571,738000,-63.9907
3581,740000,9.1643
3590,742000,-26.5064
3600,744000,-35.1358
3610,746000,11.5838
3620,748000,41.7507
3630,750000,-18.177
3640,752000,10.1873
3649,754000,5.9826
3659,756000,-26.0475
3669,758000,5.0197
3678,760000,52.8562
3688,762000,-76.1393
3697,764000,-67.7197
3706,766000,-35.2784
3716,768000,39.5383
3725,770000,-440.7091
3734,772000,-109.0091
3744,774000,-298.9048
3752,776000,-134.3363
3762,778000,-151.0263
3771,780000,-107.169
3780,782000,50.2742
3789,784000,-7.1902
3799,786000,-161.8965
3808,788000,-21.5935
3818,790000,-42.2094
3827,792000,-63.8596
3836,794000,-8.789
3845,796000,-78.2456
3855,798000,-46.469
3865,800000,-32.3419
3874,802000,-54.8606
3884,804000,-68.6288
3894,806000,-116.7819
3903,808000,-136.4924
3913,810000,8.8424
3922,812000,-86.752
3932,814000,-269.3094
3941,816000,-320.9424
3951,818000,-158.0607
3960,820000,-416.3568
3970,822000,22.5535
3980,824000,-95.9408
3990,826000,25.7752
4000,828000,-33.3459
4009,830000,2.4257
4019,832000,62.1125
4028,834000,-29.5461
4038,836000,-68.0984
4048,838000,35.1253
4058,840000,20.5058
4068,842000,-18.6858
4078,844000,-0.6532
4089,846000,-74.7969
4097,848000,25.0847
4108,850000,-34.288
4117,852000,-30.3183
4127,854000,15.334
4137,856000,16.9827
4147,858000,21.9076
4156,860000,-61.262
4166,862000,38.7969
4176,864000,109.19
4186,866000,38.481
4196,868000,17.4433
4206,870000,163.168
4215,872000,-3.5098
4225,874000,-49.0753
4236,876000,-55.8135
4245,878000,27.025
4255,880000,-2.2667
4265,882000,-6.1442
4275,884000,52.9079
4284,886000,87.2526
4294,888000,11.0951
4304,890000,-34.8586
4314,892000,18.4501
4324,894000,20.9656
4333,896000,-68.8774
4343,898000,24.9186
4353,900000,-9.4817
4362,902000,44.0583
4372,904000,-41.1776
4382,906000,65.1621
4392,908000,-13.843
4402,910000,4.4754
4411,912000,-24.9215
4421,914000,-33.9316
4431,916000,34.2476
4441,918000,7.931
4452,920000,-26.8018
4462,922000,42.5872
4471,924000,29.4218
4482,926000,7.6977
4492,928000,59.8391
4502,930000,3.0541
4512,932000,6.2227
4522,934000,39.8244
4533,936000,53.1944
4543,938000,39.6527
4553,940000,39.6748
4563,942000,1.2894
4573,944000,1.5771
4583,946000,25.6241
4593,948000,-1.8155
4603,950000,-40.546
4613,952000,32.1364
4623,954000,34.2551
4634,956000,-21.2976
4643,958000,-46.3862
4653,960000,76.8945
4663,962000,-3.2742
4673,964000,21.2767
4683,966000,-91.9507
4693,968000,-23.6155
4703,970000,0.9232
4713,972000,50.0185
4722,974000,-105.8766
4731,976000,-78.6964
4741,978000,-197.3463
4751,980000,-72.6296
4760,982000,-22.3921
4770,984000,59.2877
4780,986000,-54.799
4789,988000,-160.9016
4800,990000,-112.2582
4809,992000,-84.3335
4819,994000,-65.2548
4829,996000,37.2145
4840,998000,33.6721
4850,1000000,14.2633
4860,1002000,-13.6114
4871,1004000,33.4556
4880,1006000,14.5012
4890,1008000,88.0763
4901,1010000,35.0727
4910,1012000,22.1252
4920,1014000,-1.7564
4930,1016000,14.9588
4939,1018000,167.7813
4949,1020000,85.7405
4959,1022000,104.7608
4969,1024000,14.486
4979,1026000,83.0644
4989,1028000,65.9157
4998,1030000,-39.171
5008,1032000,27.053
5018,1034000,18.9548
5027,1036000,31.9763
5038,1038000,12.3519
5048,1040000,17.7693
5058,1042000,5.541
5068,1044000,29.5075
5078,1046000,-21.0289
5087,1048000,34.6477
5097,1050000,20.0445
5107,1052000,9.8235
5117,1054000,70.7841
5127,1056000,26.6462
5137,1058000,20.9687
5147,1060000,54.7177
5157,1062000,12.4122
5167,1064000,-2.2571
5177,1066000,68.4421
5187,1068000,154.2406
5196,1070000,-22.3754
5206,1072000,38.1831
5216,1074000,16.8418
5225,1076000,-3.8971
5235,1078000,37.8112
5245,1080000,22.5986
5255,1082000,42.7972
5266,1084000,4.5379
5275,1086000,110.8771
5286,1088000,10.1303
5295,1090000,35.5175
5305,1092000,23.4596
5315,1094000,-4.6257
5326,1096000,16.8871
5336,1098000,-17.5943
5346,1100000,6.9265
5356,1102000,30.9748
5367,1104000,29.7736
5377,1106000,43.4813
5387,1108000,-11.8791
5397,1110000,-54.1194
5408,1112000,52.384
5418,1114000,61.0557
5427,1116000,0.0742
5437,1118000,-24.7331
5447,1120000,31.0283
5457,1122000,22.8233
5466,1124000,-2.0482
5476,1126000,-18.354
5486,1128000,-0.9477
5497,1130000,-37.9693
5507,1132000,18.1603
5516,1134000,42.5069
5525,1136000,-68.2357
5535,1138000,17.797
5545,1140000,23.4262
5555,1142000,-9.4716
5565,1144000,31.2832
5575,1146000,42.5392
5585,1148000,67.3509
5595,1150000,-13.8964
5605,1152000,-67.3807
5615,1154000,-20.1248
5626,1156000,-42.5387
5636,1158000,41.3172
5646,1160000,39.3315
5656,1162000,-80.9751
5666,1164000,-116.0507
5676,1166000,-0.5991
5686,1168000,-13.8424
5696,1170000,-92.9032
5706,1172000,-232.2066
5714,1174000,14.0276
5724,1176000,-96.7206
5734,1178000,-43.5998
5744,1180000,-115.8776
5754,1182000,-31.4269
5764,1184000,-59.3927
5775,1186000,60.408
5784,1188000,-4.7875
5794,1190000,-51.6827
5804,1192000,33.0175
5814,1194000,-33.7401
5824,1196000,-138.6794
5834,1198000,-41.6564
5845,1200000,-12.0853
5855,1202000,-58.2023
5865,1204000,-17.9468
5875,1206000,0.9577
5885,1208000,42.3697
5895,1210000,46.7464
5905,1212000,59.13
5915,1214000,19.3599
5926,1216000,58.3623
5937,1218000,86.55
5947,1220000,10.2054
5957,1222000,78.2108
5967,1224000,2.2957
5978,1226000,-21.887
5988,1228000,-30.2811
5998,1230000,19.055
6009,1232000,76.0555
6018,1234000,0.6796
6029,1236000,-92.399
6039,1238000,-54.5958
6050,1240000,76.9189
6060,1242000,4.0949
6071,1244000,60.8952
6081,1246000,26.0397
6091,1248000,44.3775
6102,1250000,-23.0801
6113,1252000,-8.224
6123,1254000,10.2926
6132,1256000,-32.4759
6142,1258000,-145.2062
6152,1260000,30.6371
6162,1262000,-56.9153
6172,1264000,-10.973
6182,1266000,2.1909
6193,1268000,-42.9706
6204,1270000,48.9537
6214,1272000,44.7666
6223,1274000,67.7738
6232,1276000,57.4228
6242,1278000,13.1248
6252,1280000,-2.3768
6262,1282000,16.8703
6272,1284000,-8.1017
6283,1286000,34.3942
6293,1288000,32.1428
6304,1290000,64.437
6315,1292000,42.9333
6325,1294000,-74.3085
6335,1296000,-99.5626
6345,1298000,43.8391
6356,1300000,6.4778
6365,1302000,-114.832
6375,1304000,91.1218
6385,1306000,33.06
6394,1308000,-45.5426
6404,1310000,-82.1626
6414,1312000,21.1444
6424,1314000,-135.3828
6434,1316000,-80.3296
6445,1318000,4.5252
6455,1320000,-9.6306
6466,1322000,-20.48
6477,1324000,54.6495
6486,1326000,-125.6563
6496,1328000,25.3251
6507,1330000,20.4492
6518,1332000,23.3331
6528,1334000,-8.7118
6539,1336000,-35.399
6549,1338000,-24.8697
6559,1340000,79.4066
6570,1342000,58.3411
6580,1344000,1.4628
6590,1346000,-59.0488
6599,1348000,-137.8872
6609,1350000,-122.6098
6619,1352000,-46.44
6629,1354000,-21.197
6639,1356000,8.3329
6649,1358000,-116.0359
6659,1360000,-220.7249
6669,1362000,-55.7353
6679,1364000,-119.8642
6689,1366000,-61.0453
6698,1368000,-71.2137
6709,1370000,8.933
6719,1372000,-40.3169
6729,1374000,44.6252
6740,1376000,9.2238
6749,1378000,97.3742
6759,1380000,93.2855
6768,1382000,-81.6877
6778,1384000,-26.4635
6786,1386000,-122.8613
6796,1388000,-102.3807
6806,1390000,11.7025
6817,1392000,-15.1391
6827,1394000,-57.5839
6838,1396000,29.1997
6848,1398000,50.3653
6858,1400000,37.3153
6867,1402000,-81.0387
6878,1404000,-102.6293
6887,1406000,-196.9982
6896,1408000,-110.2319
6907,1410000,25.1559
6917,1412000,115.182
6926,1414000,-70.4358
6937,1416000,64.5581
6946,1418000,21.5991
6956,1420000,-119.8842
6966,1422000,62.4651
6976,1424000,13.1637
6987,1426000,31.0623
6996,1428000,55.1022
7005,1430000,68.9406
7014,1432000,30.9888
7025,1434000,-30.3945
7036,1436000,2.5478
7046,1438000,3.9388
7056,1440000,-24.6005
7066,1442000,33.0752
