episode,timestep,reward
9,2000,-11.0838
18,4000,-47.0955
28,6000,-191.6516
37,8000,-241.8204
47,10000,-141.5501
56,12000,-251.9835
67,14000,-271.9252
77,16000,-222.307
86,18000,-173.3745
96,20000,-253.8461
106,22000,-126.8612
115,24000,-92.6626
125,26000,-167.4717
134,28000,-148.3168
144,30000,-155.3502
153,32000,-204.0201
163,34000,-226.5241
173,36000,-118.367
182,38000,-119.8386
193,40000,-137.8994
202,42000,-40.3993
212,44000,-159.4611
222,46000,-78.4978
231,48000,-205.0473
241,50000,-134.5554
250,52000,-105.9943
259,54000,-155.302
269,56000,-114.4772
278,58000,-91.8788
288,60000,-112.0523
298,62000,-8.8028
307,64000,-96.0896
317,66000,-257.3196
327,68000,-167.746
337,70000,-137.4662
348,72000,-108.4709
357,74000,-221.0105
366,76000,-134.6423
376,78000,-113.6784
385,80000,-218.6225
394,82000,-128.8669
404,84000,-197.6583
413,86000,-52.0908
423,88000,-180.7004
433,90000,-65.206
442,92000,-216.5548
452,94000,-105.7784
462,96000,-146.2654
471,98000,115.6309
481,100000,-247.8866
490,102000,-219.3338
499,104000,-110.3405
509,106000,-69.0561
517,108000,-165.5718
527,110000,-14.828
538,112000,-170.1031
548,114000,-101.4127
557,116000,-51.1902
566,118000,-75.4461
575,120000,-101.8712
585,122000,-186.3815
595,124000,-221.9475
604,126000,-150.7225
614,128000,-164.8522
624,130000,-109.775
634,132000,-76.3574
644,134000,-189.3261
654,136000,-34.2088
663,138000,-53.7873
672,140000,-188.7024
682,142000,-110.9106
692,144000,-100.8127
702,146000,-46.9708
711,148000,-126.9696
720,150000,-71.2399
730,152000,-88.6265
739,154000,-205.3569
749,156000,-34.8766
758,158000,-44.5049
768,160000,14.2137
779,162000,-62.4485
789,164000,-0.6383
799,166000,41.3611
809,168000,29.0056
818,170000,-100.2539
828,172000,-72.2496
838,174000,-39.3863
848,176000,-57.9856
858,178000,5.8432
867,180000,159.0358
877,182000,21.5215
887,184000,-31.628
898,186000,3.7832
908,188000,-39.8173
918,190000,-19.6022
929,192000,-90.314
940,194000,40.8242
951,196000,-48.8573
961,198000,154.9362
971,200000,40.2921
981,202000,-107.0029
989,204000,-23.5296
999,206000,-52.9529
1009,208000,-33.9529
1019,210000,36.3373
1029,212000,-136.9469
1039,214000,-24.4183
1049,216000,-185.85
1059,218000,-98.2836
1069,220000,-62.2866
1079,222000,-81.3615
1089,224000,-58.2391
1098,226000,-59.3904
1109,228000,2.6147
1118,230000,-28.1397
1128,232000,-4.1382
1138,234000,-73.4324
1147,236000,-103.0555
1156,238000,5.2494
1166,240000,24.6148
1175,242000,-63.7385
1183,244000,-359.2909
1192,246000,-254.7976
1201,248000,-151.3439
1211,250000,-3.5577
1221,252000,-54.8447
1231,254000,-8.1214
1240,256000,-152.8235
1250,258000,-4.98
1261,260000,-40.8007
1270,262000,-21.6905
1279,264000,-65.4188
1289,266000,-99.8313
1298,268000,-32.9568
1308,270000,-73.7345
1318,272000,-32.3753
1328,274000,12.8974
1337,276000,-26.0852
1346,278000,-45.2377
1357,280000,38.9908
1366,282000,-87.2048
1376,284000,-64.7243
1386,286000,-20.5778
1395,288000,-84.0277
1404,290000,14.8194
1415,292000,-45.0899
1425,294000,-130.9017
1435,296000,-187.9285
1445,298000,-10.1844
1455,300000,-87.1863
