timestep,episode,reward
3146,10,-1242.710683114623
6319,20,-747.2970556404907
9517,30,-991.6190877221525
12494,40,-587.17862557841
15537,50,-1483.9701039288193
18712,60,-194.6172127329046
21722,70,-1021.4091088662972
24890,80,-18.68742326577194
27744,90,-688.5311021129019
30864,100,-453.41597860862385
33837,110,-1906.164881547622
37043,120,-700.402714980999
39990,130,-1897.0192992868251
43588,140,-2231.0230684437556
46896,150,-175.2910275068134
50122,160,-1440.81998780492
53218,170,-705.2276456619147
56903,180,-836.6293116176967
60640,190,-2570.736406146374
64044,200,-34.4146650894545
67151,210,-445.99603155232035
70858,220,-348.6347204843187
74001,230,15.287841679906705
77427,240,-23.193875690002642
80562,250,-1324.8231091044145
83651,260,182.21504401229322
86967,270,-385.2516880662297
89945,280,-30.385854808380827
93049,290,-324.67380261345534
96237,300,-458.13539551457507
99167,310,-679.0518564620288
102597,320,101.4740577324992
105545,330,61.31759072479326
108319,340,-333.7845732476562
111026,350,-7.1146313959761756
113817,360,-336.37588452176715
116955,370,-217.75660668613273
119488,380,124.39492717775283
122537,390,-207.64775446761632
125444,400,-196.60894052888898
128113,410,133.64307161420584
131256,420,-30.490235024888534
134429,430,102.1646810141392
137556,440,-288.4539202055894
140642,450,5.590716190636158
143256,460,162.7095292271697
146528,470,3.2199539122229908
149403,480,50.069306370802224
152180,490,15.365308909065789
155150,500,25.443441618117504
158315,510,-1.550639926455915
161234,520,165.63300631380116
164314,530,218.92889147810638
167236,540,-88.43394915631507
170182,550,134.68077839910984
173503,560,81.42473722208524
177027,570,99.06865772684978
179853,580,120.3904397857259
182686,590,-5.905570929608075
185557,600,-120.19198967004195
188390,610,46.366485658916645
191629,620,153.9207949563861
194351,630,131.10135306417942
197562,640,-323.94996532352525
200274,650,173.7754423506558
202982,660,73.8707731552422
205872,670,-24.062439765082672
208960,680,-10.04775878979126
212119,690,25.641591513471212
215063,700,-113.11955030041281
217638,710,20.43761897213699
220299,720,191.6067706272006
222963,730,81.28017748240381
226148,740,15.834903563081753
229524,750,178.07850523106754
232686,760,237.0136910006404
235490,770,98.58059699799196
238672,780,5.574743997713085
241793,790,6.514858471811749
244639,800,94.04381757386727
247229,810,266.22852819412947
250400,820,-82.84520280128345
253048,830,105.65960214845836
255977,840,4.728695325786248
259278,850,61.70361449755728
262081,860,93.93243856538902
265486,870,59.64919744100189
268501,880,5.043124496995006
271935,890,54.43953401688486
275216,900,212.09438418969512
278299,910,690.3383829221129
281155,920,422.4742141664028
284428,930,76.39596280211117
287215,940,68.74388854060089
502984,10,158.94987136903364
506057,20,98.76281754834054
508952,30,70.85771658923477
511890,40,154.93300487846136
514931,50,-170.88322927779518
518155,60,20.154131759743905
521506,70,265.80973073095083
524634,80,291.25431717932224
527750,90,111.29347229003906
530844,100,18.126090243662475
534399,110,91.10687012411654
537601,120,87.53984494163888
540742,130,268.6709645986557
544037,140,-17.717673533363268
547217,150,-4.565608392294962
550592,160,30.036609022761695
553704,170,101.75367066450417
