timestep,episode,reward
3322,10,-81.67033085801813
6251,20,-1585.9060963124357
9283,30,-1681.2765619254205
12142,40,-2113.1748572640354
14965,50,-358.47762997163227
17773,60,-762.4624587427243
20863,70,-711.3334695043741
23831,80,-677.3627965311753
26939,90,-1828.8121752270963
29877,100,-2674.700861884863
32973,110,-827.1525205775397
36211,120,-1100.2207005820237
39060,130,-1313.5632341152523
41882,140,-804.3558500521467
44736,150,-555.6455748558219
47430,160,-51.90492650674423
50329,170,19.210380246979184
53799,180,-989.7159946010215
56783,190,-434.66444733162643
60359,200,-1194.9420431926847
63580,210,-118.98761142132571
66615,220,77.50425572495442
69981,230,-353.53046463336796
73502,240,-1231.3938907838892
76965,250,-928.6509940429823
79965,260,-122.88236714794766
82747,270,-206.82234233873896
85466,280,-1259.8443543831818
88809,290,-211.92218450637301
91982,300,-68.11934182525147
95130,310,-312.7618837460468
98068,320,38.38726012868574
101015,330,24.716317907033954
104023,340,-355.92754488944774
106514,350,-34.810166563256644
109279,360,-560.3732315459056
112284,370,-110.75584630575031
115128,380,-164.25651174489758
118121,390,-99.22852864931338
121321,400,-98.45485663414001
124118,410,115.50261031999253
126669,420,151.7997522559599
129466,430,-4.341117711737752
132721,440,-256.5894472071668
135624,450,-392.6364510989515
138345,460,46.41776560328435
141160,470,-88.99229652701615
143949,480,-566.9458381927107
146787,490,5.335122077609412
149448,500,-64.04858407436404
152603,510,158.28433657612186
155692,520,113.9879734365968
158467,530,39.709665379836224
161346,540,-392.1042397371493
164338,550,154.40695315698395
167284,560,37.86187352980778
170265,570,-1.6652948161354288
173409,580,28.157934930175543
176615,590,15.934558040404227
179660,600,-507.1648966258217
182774,610,86.90606631799892
186630,620,-28.670204342284705
189438,630,53.14902984641958
192176,640,20.845128848372042
195632,650,-19.495950765907764
199116,660,467.1254603001071
202536,670,89.68183895968832
205489,680,17.46523584581155
207987,690,-75.09920570274699
211204,700,47.690541853546165
214184,710,-23.994677290145773
216977,720,-64.87075454648584
220211,730,-9.895920798648149
223000,740,896.4182223305106
225759,750,76.63528466969728
228803,760,164.22667784361693
231571,770,34.42121341859456
234639,780,-71.75859641225543
237687,790,11.844280866149347
240570,800,213.38691582437605
243609,810,5.490832857845817
246825,820,491.39470020332374
249739,830,876.6028532752534
253194,840,90.33952633291483
256577,850,95.64088154479396
259461,860,63.83760914037339
262258,870,-9.500601697567618
265090,880,255.92254115641117
268408,890,163.34210198064102
270861,900,33.81197410079767
274244,910,391.06671069934964
277847,920,133.15612398277153
281167,930,55.28358839638531
283953,940,53.66584696272912
287483,950,-82.49984640139155
290951,960,37.051932890419266
294115,970,44.04382262186846
297436,980,-343.4031714690209
