episode,timestep,reward
2742,566000,-36.741
2751,568000,48.1439
2762,570000,49.1078
2772,572000,-9.7954
2782,574000,11.7747
2791,576000,14.9065
2801,578000,20.4566
2811,580000,54.9866
2821,582000,34.7427
2832,584000,3.8524
2842,586000,108.7478
2851,588000,51.2982
2862,590000,60.9083
2872,592000,42.466
2882,594000,63.2844
2891,596000,137.2288
2902,598000,32.7803
2912,600000,22.6666
2921,602000,36.8872
2931,604000,0.3918
2941,606000,43.7604
2951,608000,38.3472
2962,610000,69.4979
2972,612000,3.2021
2982,614000,89.8657
2992,616000,31.6058
3002,618000,-38.7007
3012,620000,56.9945
3022,622000,22.0236
3031,624000,78.0715
3041,626000,16.1605
3051,628000,41.5142
3061,630000,64.9122
3072,632000,106.6478
3083,634000,52.5787
3091,636000,17.0742
3102,638000,45.5486
3111,640000,24.9821
3122,642000,42.8809
3132,644000,53.9061
3143,646000,38.4642
3153,648000,107.3491
3163,650000,47.918
3174,652000,67.638
3185,654000,41.7645
3194,656000,5.788
3205,658000,49.9194
3215,660000,24.509
3225,662000,15.4919
3235,664000,-9.6887
3244,666000,-15.2504
3254,668000,110.2565
3264,670000,-5.1253
3274,672000,-24.0496
3284,674000,11.3579
3294,676000,76.7233
3304,678000,-11.5348
3315,680000,79.2882
3325,682000,70.12
3336,684000,61.9257
3346,686000,-75.5512
3355,688000,-45.3975
3365,690000,-29.1082
3374,692000,44.1339
3384,694000,10.1368
3394,696000,7.0274
3404,698000,26.513
3414,700000,-21.3621
3424,702000,95.5649
3434,704000,125.1428
3443,706000,-6.3988
3453,708000,-57.36
3463,710000,48.9037
3473,712000,9.5296
3483,714000,55.1766
3493,716000,24.3555
3504,718000,20.9661
3514,720000,100.3596
3525,722000,22.7559
3535,724000,-38.9657
3546,726000,-35.6481
3557,728000,15.2604
3567,730000,-10.9887
3577,732000,62.7523
3587,734000,28.1831
3598,736000,53.1454
3608,738000,106.788
3619,740000,46.5587
3627,742000,-25.4175
3637,744000,-50.4614
3647,746000,-55.5545
3657,748000,-57.4626
3667,750000,-6.2672
3677,752000,-7.6066
3686,754000,-13.0654
3696,756000,42.2891
3706,758000,-30.555
3715,760000,21.6984
3725,762000,84.911
3735,764000,43.7191
3744,766000,-63.3141
3754,768000,-18.4818
3764,770000,-14.7051
3774,772000,-37.4416
3784,774000,10.8655
3794,776000,-32.1605
3805,778000,-41.1835
3815,780000,-58.8644
3824,782000,2.8468
3833,784000,-73.1287
3843,786000,37.4635
3854,788000,47.4405
3863,790000,46.7568
3873,792000,48.4925
3882,794000,-39.7499
3892,796000,-1.5356
3903,798000,64.0231
3913,800000,81.1462
3924,802000,29.0485
3934,804000,4.8609
3944,806000,12.034
3955,808000,51.8154
3964,810000,51.7779
3975,812000,34.1642
3986,814000,1.1254
3995,816000,46.5607
4005,818000,-38.499
4016,820000,51.5825
4026,822000,91.197
4036,824000,77.9324
4047,826000,1.9105
4057,828000,-34.1167
4066,830000,17.5713
4075,832000,12.7084
4085,834000,-31.3649
4095,836000,89.1711
4106,838000,2.3182
4116,840000,3.5981
4125,842000,34.0237
4135,844000,30.1947
4145,846000,79.2921
4154,848000,65.212
4164,850000,77.7938
4174,852000,147.8122
4183,854000,15.4648
4193,856000,-69.4338
4204,858000,33.0239
4214,860000,146.6352
4224,862000,136.7033
4234,864000,8.0462
4244,866000,58.4634
4253,868000,27.1609
4263,870000,44.0859
4272,872000,101.753
4282,874000,75.9947
4292,876000,28.5286
4302,878000,-5.6345
4312,880000,32.3513
4321,882000,120.8085
4331,884000,70.7845
4340,886000,-2.8468
4350,888000,67.7262
4361,890000,31.5603
4371,892000,8.0891
4381,894000,-7.142
4391,896000,82.5354
4401,898000,36.4688
4411,900000,244.1399
4420,902000,87.5281
4430,904000,37.3913
4440,906000,111.1458
4450,908000,110.2535
4460,910000,13.7916
4470,912000,82.3339
4480,914000,164.7201
4489,916000,164.4148
4500,918000,23.128
4510,920000,61.9822
4520,922000,169.2544
4529,924000,314.7
4539,926000,-10.6015
4548,928000,245.8914
4559,930000,86.6465
4568,932000,47.2275
4578,934000,57.0278
4587,936000,28.9279
4597,938000,62.134
4607,940000,8.5472
4617,942000,37.1658
4627,944000,198.7863
4636,946000,64.9324
4646,948000,23.0553
4655,950000,25.483
4665,952000,19.1722
4674,954000,146.6856
4684,956000,10.5493
4694,958000,71.2267
4704,960000,39.2524
4713,962000,90.5999
4722,964000,82.4421
4733,966000,77.0237
4742,968000,66.3234
4752,970000,101.6207
4761,972000,16.3629
4770,974000,-27.7596
4779,976000,108.02
4790,978000,33.5076
4800,980000,35.0563
4809,982000,67.4523
4820,984000,27.056
4830,986000,46.2224
4840,988000,123.2952
4850,990000,40.8164
4860,992000,47.4514
4870,994000,66.404
4881,996000,76.3638
4890,998000,143.0161
4899,1000000,78.7127
4909,1002000,0.3807
4918,1004000,19.1635
4928,1006000,18.7859
4939,1008000,-7.124
4949,1010000,41.5733
4959,1012000,59.3615
4969,1014000,80.151
4978,1016000,57.8318
4987,1018000,131.5395
4997,1020000,57.6554
5008,1022000,57.1205
5017,1024000,158.404
5026,1026000,112.578
5036,1028000,17.2216
5045,1030000,145.0298
5056,1032000,40.7068
5066,1034000,54.1847
5075,1036000,110.1786
5085,1038000,122.4416
5095,1040000,-0.791
5105,1042000,164.0084
5114,1044000,170.914
5123,1046000,21.897
5134,1048000,59.8769
5143,1050000,36.8796
5152,1052000,-8.4765
5162,1054000,65.166
5172,1056000,-39.9955
5181,1058000,99.6403
5191,1060000,-24.0464
5200,1062000,-80.6563
5210,1064000,121.6188
5219,1066000,13.4069
5229,1068000,90.1954
5239,1070000,99.6157
5248,1072000,80.0902
5257,1074000,106.9009
5266,1076000,-54.6783
5276,1078000,135.6836
5286,1080000,42.753
5297,1082000,51.2337
5305,1084000,-120.3824
5315,1086000,51.8428
5324,1088000,58.69
5334,1090000,-164.0435
5342,1092000,-57.7232
5351,1094000,130.473
5360,1096000,-61.0411
5369,1098000,-114.3796
5378,1100000,-111.9616
5388,1102000,71.4253
5397,1104000,94.7166
5406,1106000,16.2823
5416,1108000,48.0116
5426,1110000,22.6523
5436,1112000,14.7437
5446,1114000,-14.3372
5455,1116000,-18.7332
5465,1118000,37.7696
5475,1120000,53.3115
5485,1122000,-20.1125
5494,1124000,29.0057
5504,1126000,61.2577
5514,1128000,38.9699
5523,1130000,136.921
5533,1132000,14.951
5543,1134000,36.3424
5553,1136000,-17.9769
5563,1138000,65.0407
5573,1140000,65.5951
5582,1142000,89.0178
5592,1144000,21.5812
5602,1146000,63.9365
5611,1148000,86.9027
5622,1150000,53.6398
5632,1152000,122.2556
5641,1154000,69.1304
5649,1156000,145.2353
5659,1158000,167.0873
5668,1160000,135.4194
5679,1162000,76.8862
5688,1164000,136.7341
5698,1166000,154.1649
5707,1168000,90.4819
5717,1170000,147.5679
5727,1172000,126.8761
5736,1174000,12.93
5746,1176000,59.0155
5756,1178000,75.0328
5765,1180000,129.5551
5775,1182000,-20.9322
5784,1184000,47.1361
5795,1186000,35.8142
5805,1188000,36.3898
5815,1190000,86.9153
5824,1192000,-47.2088
5834,1194000,30.171
5844,1196000,23.6754
5853,1198000,24.1804
5862,1200000,38.4193
5872,1202000,87.0141
5883,1204000,-4.3178
5891,1206000,59.4683
5900,1208000,19.7144
5909,1210000,64.577
5919,1212000,51.0382
5929,1214000,29.5467
5938,1216000,101.2839
5948,1218000,84.0631
5958,1220000,136.6034
5966,1222000,198.4816
5976,1224000,25.0826
5987,1226000,-25.7354
5998,1228000,46.1058
6008,1230000,56.3801
6017,1232000,-32.6717
6027,1234000,17.7656
6037,1236000,139.268
6047,1238000,-70.3793
6056,1240000,-27.7
6065,1242000,-67.0888
6075,1244000,3.2018
6083,1246000,170.0799
6092,1248000,-39.9683
6102,1250000,-64.3066
6111,1252000,27.6731
6121,1254000,-10.2803
6130,1256000,57.2497
6140,1258000,50.2792
6150,1260000,26.0287
6160,1262000,-32.7651
6169,1264000,-42.514
6180,1266000,43.6516
6189,1268000,-1.4222
6198,1270000,-9.0146
6208,1272000,114.591
6218,1274000,39.8405
6228,1276000,30.2404
6238,1278000,-14.1848
6247,1280000,104.0245
6256,1282000,39.7695
6267,1284000,31.6908
6276,1286000,2.1343
6285,1288000,87.7926
6295,1290000,17.7527
6305,1292000,69.4944
6315,1294000,-27.3296
6324,1296000,-83.7791
6335,1298000,5.7484
6345,1300000,29.1682
6354,1302000,19.6583
6364,1304000,23.9287
6374,1306000,56.4185
6383,1308000,204.2685
6392,1310000,152.279
6402,1312000,34.4298
6411,1314000,41.4599
6421,1316000,1.7931
6431,1318000,-31.4916
6441,1320000,-10.9845
6450,1322000,-117.6721
6460,1324000,-15.9087
6468,1326000,36.1588
6478,1328000,-51.33
6488,1330000,-23.1248
6498,1332000,102.2749
6507,1334000,-23.6249
6516,1336000,-15.303
6526,1338000,-5.287
6537,1340000,47.2485
6546,1342000,69.8956
6556,1344000,119.2168
6565,1346000,-9.0626
6574,1348000,72.935
6584,1350000,48.3448
6594,1352000,48.0586
6605,1354000,39.8338
6613,1356000,41.3162
6623,1358000,27.9528
6633,1360000,81.2645
6642,1362000,-117.0033
6651,1364000,13.3939
6660,1366000,-28.9141
6669,1368000,-3.2845
6679,1370000,12.0371
6689,1372000,30.0524
6699,1374000,46.2762
6709,1376000,3.0863
6719,1378000,33.6715
6730,1380000,33.7514
6738,1382000,79.8128
6749,1384000,39.2444
6758,1386000,-13.68
6768,1388000,-24.9032
6778,1390000,43.4392
6787,1392000,24.1182
6796,1394000,-6.0579
6806,1396000,11.1416
6815,1398000,-6.7928
6824,1400000,40.0917
6835,1402000,46.9748
6845,1404000,28.5275
6855,1406000,3.562
6865,1408000,66.7665
6874,1410000,27.5878
6884,1412000,72.6469
6893,1414000,41.8419
6903,1416000,-42.6785
6913,1418000,46.4971
6923,1420000,-26.6072
6932,1422000,-32.2949
6943,1424000,43.7593
6952,1426000,72.3605
6961,1428000,27.6542
6972,1430000,62.357
6981,1432000,72.5395
6990,1434000,104.8654
7000,1436000,34.6236
7010,1438000,87.3538
7019,1440000,-58.2679
7029,1442000,6.0531
7039,1444000,41.1067
7048,1446000,1.0099
7058,1448000,90.021
7068,1450000,20.3662
7077,1452000,36.3611
7086,1454000,4.8794
7096,1456000,93.0002
7105,1458000,29.9622
7115,1460000,84.3324
7125,1462000,62.9527
7135,1464000,57.2705
7145,1466000,58.8713
7156,1468000,78.6722
7166,1470000,55.4487
7175,1472000,115.5136
7185,1474000,84.1489
7194,1476000,141.1387
7203,1478000,43.8566
7211,1480000,-15.6553
7222,1482000,-32.8818
7231,1484000,55.8374
7241,1486000,-37.6796
7252,1488000,15.7235
7262,1490000,98.0588
7271,1492000,-83.927
7281,1494000,-76.9539
7289,1496000,43.4767
7299,1498000,104.6885
7310,1500000,60.5077
7319,1502000,69.8768
7329,1504000,145.8904
7339,1506000,35.3042
7348,1508000,151.5486
7358,1510000,38.5145
7367,1512000,73.2891
7377,1514000,91.9962
7387,1516000,73.2802
7396,1518000,-45.0805
7407,1520000,109.2686
7417,1522000,72.1664
7427,1524000,115.117
7437,1526000,73.393
7447,1528000,40.0145
7457,1530000,46.9356
7468,1532000,82.5858
7478,1534000,182.0752
7488,1536000,84.7365
7498,1538000,-1.4096
7509,1540000,1.0831
7519,1542000,67.0653
7529,1544000,70.8896
7539,1546000,48.3776
7548,1548000,43.8046
7558,1550000,39.414
7569,1552000,124.6757
7578,1554000,97.7012
7589,1556000,84.7874
7599,1558000,107.9442
7609,1560000,121.0716
7619,1562000,82.648
7629,1564000,105.4113
7639,1566000,65.5539
7649,1568000,103.2911
7659,1570000,64.7358
7669,1572000,124.6075
7679,1574000,41.4461
7688,1576000,82.8815
7698,1578000,57.2971
7708,1580000,84.2626
7718,1582000,109.2733
7728,1584000,51.7324
7738,1586000,18.0207
7749,1588000,17.4283
7759,1590000,101.4011
7770,1592000,77.7368
7779,1594000,151.4063
7789,1596000,6.2817
7799,1598000,81.6959
7808,1600000,139.9821
7818,1602000,146.5703
7827,1604000,82.1567
7837,1606000,48.1191
7846,1608000,153.7205
7856,1610000,93.4514
7866,1612000,72.5031
7876,1614000,92.8344
7885,1616000,102.3413
7894,1618000,101.1064
7903,1620000,77.9667
7913,1622000,69.9282
7924,1624000,203.8531
7933,1626000,188.2611
7943,1628000,150.9809
7952,1630000,2.8355
7962,1632000,113.7954
7972,1634000,112.8697
7981,1636000,105.6629
7991,1638000,97.0936
8000,1640000,113.3548
8010,1642000,136.1581
8019,1644000,210.6107
8029,1646000,149.5955
8038,1648000,64.8298
8048,1650000,46.2544
8058,1652000,104.8177
8067,1654000,110.44
8076,1656000,140.1707
8086,1658000,88.9083
8095,1660000,165.4677
8105,1662000,74.9676
8115,1664000,105.4598
8125,1666000,142.3243
8135,1668000,144.7336
8145,1670000,146.8514
8155,1672000,85.7177
8164,1674000,96.9392
8173,1676000,167.4764
8183,1678000,174.5456
8193,1680000,59.5318
8203,1682000,78.1867
8213,1684000,30.7995
8222,1686000,121.4217
8232,1688000,239.5258
8242,1690000,104.8628
8252,1692000,63.4038
8262,1694000,144.2111
8272,1696000,58.7675
8282,1698000,121.1866
8291,1700000,172.4317
8301,1702000,222.2987
8311,1704000,92.8659
8320,1706000,116.8297
8329,1708000,91.5278
8339,1710000,90.2141
8349,1712000,201.9551
8358,1714000,155.8975
8369,1716000,156.0366
8379,1718000,178.1223
8389,1720000,281.3691
8399,1722000,139.9256
8408,1724000,123.1741
8418,1726000,139.5868
8427,1728000,145.4061
8437,1730000,111.8069
8448,1732000,89.0282
8458,1734000,113.7775
8467,1736000,68.5054
8478,1738000,93.6061
8487,1740000,62.9157
8498,1742000,134.0503
8507,1744000,133.0901
8517,1746000,110.4816
8528,1748000,170.1937
8538,1750000,101.7872
8549,1752000,120.4576
8559,1754000,117.435
8568,1756000,129.6105
8578,1758000,170.896
8588,1760000,86.9372
8597,1762000,214.2872
8607,1764000,161.248
8617,1766000,128.1013
8627,1768000,193.7346
8637,1770000,81.7186
8646,1772000,162.4667
8655,1774000,206.4164
8665,1776000,175.0517
8675,1778000,54.7483
8685,1780000,81.4262
8694,1782000,72.4349
8704,1784000,68.0137
8714,1786000,66.9169
8723,1788000,77.6025
8733,1790000,202.1111
8743,1792000,62.2756
8752,1794000,5.0673
8762,1796000,127.2061
8773,1798000,93.3269
8783,1800000,94.3003
8793,1802000,161.6826
8802,1804000,108.2009
8812,1806000,51.0488
8821,1808000,62.0156
8830,1810000,77.9812
8840,1812000,108.6397
8850,1814000,129.1068
8859,1816000,74.696
8869,1818000,35.38
8878,1820000,139.4124
8888,1822000,70.4736
8898,1824000,212.3311
8908,1826000,137.6484
8917,1828000,70.0595
8926,1830000,99.3585
8935,1832000,88.097
8945,1834000,111.7252
8956,1836000,110.0975
8965,1838000,70.8069
8975,1840000,108.8808
8985,1842000,72.4868
8994,1844000,106.9937
9004,1846000,28.6651
9014,1848000,123.0647
9024,1850000,72.0984
9034,1852000,143.0248
9044,1854000,44.5956
9054,1856000,45.6029
9063,1858000,27.4833
9073,1860000,108.5665
9083,1862000,84.1884
9091,1864000,25.4647
9101,1866000,91.2729
9110,1868000,188.1766
9120,1870000,-4.04
9129,1872000,143.7251
9139,1874000,73.7878
9149,1876000,158.7586
9158,1878000,58.6927
9167,1880000,118.9843
9177,1882000,62.4229
9186,1884000,58.8784
9195,1886000,-12.6682
9204,1888000,78.7297
9213,1890000,109.229
9223,1892000,67.2203
9232,1894000,119.6652
9241,1896000,41.0447
9251,1898000,67.3236
9261,1900000,72.8008
9270,1902000,153.1699
9280,1904000,218.4503
9291,1906000,75.7204
9301,1908000,79.6466
9310,1910000,128.9944
9319,1912000,92.914
9329,1914000,182.8341
9340,1916000,132.8902
9349,1918000,68.0632
9360,1920000,29.7689
9369,1922000,197.8421
9378,1924000,103.3072
9388,1926000,104.3186
9398,1928000,54.2236
9408,1930000,102.5473
9418,1932000,145.1736
9428,1934000,72.5108
9436,1936000,78.1376
9446,1938000,46.5075
9455,1940000,134.7353
9465,1942000,80.6276
9474,1944000,137.5936
9484,1946000,139.7822
9493,1948000,147.5911
9503,1950000,110.6639
9512,1952000,60.1332
9522,1954000,99.4223
9531,1956000,157.2291
9540,1958000,78.2993
9548,1960000,77.3728
9557,1962000,24.5101
9568,1964000,113.3504
9578,1966000,97.0054
9588,1968000,90.2151
9598,1970000,123.68
9607,1972000,72.018
9617,1974000,47.8195
9627,1976000,102.5498
9637,1978000,116.1107
9647,1980000,115.3969
9656,1982000,78.1047
9667,1984000,59.6466
9676,1986000,104.7232
9685,1988000,101.3747
9695,1990000,63.093
9703,1992000,223.1719
9713,1994000,115.4804
9724,1996000,66.9011
9734,1998000,123.1416
9743,2000000,74.3099
9753,2002000,74.7316
9764,2004000,88.0428
9773,2006000,48.9594
9783,2008000,74.898
9794,2010000,106.0393
9803,2012000,110.7277
9813,2014000,125.7312
9822,2016000,-39.1126
9833,2018000,184.8856
9842,2020000,189.8352
9851,2022000,112.8798
9862,2024000,85.5724
9872,2026000,118.543
9881,2028000,80.678
9891,2030000,135.6483
9902,2032000,95.9012
9912,2034000,98.3778
9921,2036000,53.5867
9931,2038000,151.4792
9940,2040000,166.7596
9951,2042000,115.8734
9961,2044000,125.7507
9971,2046000,85.8805
9982,2048000,128.8728
9992,2050000,197.3115
10002,2052000,74.3959
10013,2054000,142.2239
10023,2056000,77.6536
10031,2058000,142.1969
10042,2060000,96.813
10051,2062000,36.5231
10061,2064000,167.5728
10072,2066000,94.0743
10082,2068000,94.5421
10091,2070000,188.0723
10101,2072000,145.694
10110,2074000,58.5948
10121,2076000,110.4079
10132,2078000,103.8989
10143,2080000,126.7555
10152,2082000,10.2364
10161,2084000,201.6011
10171,2086000,86.9512
10180,2088000,186.1876
10191,2090000,93.8798
10201,2092000,189.3048
10211,2094000,120.5045
10222,2096000,125.6899
10232,2098000,56.6511
10243,2100000,33.8864
10253,2102000,96.8693
10264,2104000,85.0066
10274,2106000,189.4212
10284,2108000,128.7085
10294,2110000,166.8396
10304,2112000,142.2029
10315,2114000,61.9106
10326,2116000,75.7641
10335,2118000,171.0561
10346,2120000,121.819
10357,2122000,93.522
10368,2124000,79.9979
10377,2126000,170.3846
10388,2128000,104.3963
10399,2130000,97.6539
10410,2132000,85.8137
10420,2134000,139.7238
10431,2136000,82.5713
10442,2138000,111.8205
10453,2140000,208.1213
10463,2142000,194.7489
10474,2144000,239.3501
10484,2146000,157.9147
10494,2148000,245.8564
10504,2150000,79.0076
10514,2152000,55.6253
10525,2154000,130.0957
10536,2156000,192.39
10546,2158000,121.6285
10557,2160000,62.8766
10567,2162000,112.2712
10577,2164000,96.3485
10586,2166000,89.8597
10596,2168000,106.9529
10607,2170000,151.6409
10616,2172000,248.7908
10625,2174000,61.0549
10635,2176000,157.9744
10645,2178000,78.7179
10655,2180000,95.7909
10666,2182000,109.2498
10676,2184000,173.1812
10685,2186000,303.097
10697,2188000,140.9489
10707,2190000,70.8753
10718,2192000,122.377
10728,2194000,114.9322
10737,2196000,116.3609
10747,2198000,105.0034
10757,2200000,68.4289
10767,2202000,165.4597
10776,2204000,174.5848
10786,2206000,117.742
10796,2208000,202.0878
10807,2210000,76.958
10816,2212000,243.9627
10827,2214000,159.4746
10838,2216000,125.5053
10848,2218000,54.898
10857,2220000,197.5663
10867,2222000,158.6911
10877,2224000,197.124
10886,2226000,97.9883
10897,2228000,131.7102
10908,2230000,127.4528
10917,2232000,150.2973
10927,2234000,115.6006
10937,2236000,145.7682
10945,2238000,182.5258
10955,2240000,165.7862
10965,2242000,175.5295
10974,2244000,199.4779
10984,2246000,98.2088
10993,2248000,31.0724
11002,2250000,41.5292
11012,2252000,94.9612
11022,2254000,78.0853
11029,2256000,119.7222
11038,2258000,134.9368
11047,2260000,191.3076
11056,2262000,218.8081
11066,2264000,162.5618
11075,2266000,-51.2972
11084,2268000,201.1731
11093,2270000,201.9053
11103,2272000,83.9295
11112,2274000,125.9935
11122,2276000,-5.5949
11130,2278000,166.6808
11139,2280000,77.2574
11149,2282000,93.7253
11160,2284000,132.6889
11169,2286000,212.3937
11179,2288000,139.7475
11189,2290000,126.724
11199,2292000,135.5998
11208,2294000,103.5505
11219,2296000,109.2728
11228,2298000,156.8148
11237,2300000,70.6829
11248,2302000,34.0547
11258,2304000,76.7002
11269,2306000,66.9281
11279,2308000,89.765
11289,2310000,133.7482
11300,2312000,57.7063
11310,2314000,118.9107
11319,2316000,54.6189
11330,2318000,118.8681
11340,2320000,197.9409
11349,2322000,223.4615
11360,2324000,102.2181
11370,2326000,44.8341
11381,2328000,127.7664
11391,2330000,141.1553
11401,2332000,120.3646
11411,2334000,236.746
11422,2336000,105.6637
11430,2338000,261.768
11440,2340000,174.0415
11448,2342000,119.5864
11458,2344000,4.3618
11467,2346000,245.2521
11477,2348000,147.2968
11487,2350000,131.5533
11495,2352000,304.0672
11504,2354000,112.7845
11513,2356000,160.2691
11522,2358000,17.4365
11531,2360000,60.2656
11540,2362000,116.2217
11549,2364000,21.0557
11558,2366000,109.6192
11567,2368000,75.845
11576,2370000,129.4271
11585,2372000,99.563
11595,2374000,98.8232
11606,2376000,108.5627
11615,2378000,301.0195
11624,2380000,121.7469
11633,2382000,154.4935
11643,2384000,27.8635
11652,2386000,146.549
11662,2388000,101.0089
11672,2390000,202.0274
11682,2392000,75.0265
11692,2394000,14.0124
11702,2396000,86.922
